City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
269,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
271,Kungurtug,RU,52.03,overcast clouds,50.5994,97.5228,
272,Kawambwa,ZM,64.11,clear sky,-9.7915,29.0791,Chembe Nsofu
273,Camabatela,AO,72.45,overcast clouds,-8.1881,15.375,Comércio e Prestação de Serviços
274,Fairbanks,US,55.09,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
276,Padang,ID,78.04,overcast clouds,-0.9492,100.3543,Mercure Padang
277,Turukhansk,RU,59.95,few clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
279,Skelleftea,SE,66.56,overcast clouds,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
280,Hasaki,JP,75.6,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
282,Kudahuvadhoo,MV,82.92,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
284,Birao,CF,74.17,light rain,10.2849,22.7882,
286,Balkanabat,TM,81.23,clear sky,39.5108,54.3671,Nebitchi Hotel
287,Tocopilla,CL,64.78,overcast clouds,-22.092,-70.1979,Hotel Galvarino
288,Hovd,MN,62.98,overcast clouds,48.0056,91.6419,Hotel Khovd
289,Erzin,TR,77.14,clear sky,36.9559,36.2,Artemis Otel
290,Nenjiang,CN,62.6,clear sky,49.1833,125.2167,Nenjiang Apartment
291,Maykor,RU,61.66,broken clouds,59.0059,55.88,
292,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
293,Baruun-Urt,MN,62.28,moderate rain,46.6806,113.2792,Ахмадын амралт сувилал
295,Asasa,ET,56.23,light rain,7.1,39.2,abc
296,Port Elizabeth,ZA,60.31,clear sky,-33.918,25.5701,39 On Nile Guest House
297,Port Blair,IN,77.04,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
298,Havre-Saint-Pierre,CA,66.56,mist,50.2334,-63.5986,Auberge Niapiskau
299,Torbay,CA,79.29,broken clouds,47.6666,-52.7314,Gallows Cove
300,Mindelo,CV,80.15,broken clouds,16.8901,-24.9804,Hotel Gaudi
301,Bubaque,GW,76.84,heavy intensity rain,11.2833,-15.8333,"Casa Dora, Bubaque"
302,Atar,MR,86.56,light rain,20.5169,-13.0499,Oumou Elghoura
303,Kharan,PK,88.27,overcast clouds,28.5833,65.4167,Dil Aram Bangla
304,Coquimbo,CL,55.13,overcast clouds,-29.9533,-71.3436,Hotel San Juan
305,Planeta Rica,CO,84.0,broken clouds,8.4147,-75.5883,HOTEL MEDIA LUNA
306,Lasa,IT,81.48,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
307,Pangkalanbuun,ID,73.71,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
308,Ovsyanka,RU,54.57,overcast clouds,55.9575,92.5519,Hotel Alsey Krasnoyarsk
309,Salinopolis,BR,83.26,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
310,Tynda,RU,58.21,scattered clouds,55.1667,124.7167,"Gostinitsa ""Tayezhnaya"""
311,Changji,CN,84.99,clear sky,44.0167,87.3167,Lvye Holiday Resort
312,Sinnamary,GF,82.53,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
316,Japura,ID,73.83,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
318,Palauig,PH,81.63,few clouds,15.435,119.9045,Villa Raphael Resort
320,Kununurra,AU,55.38,clear sky,-15.7667,128.7333,Hotel Kununurra
321,Eyl,SO,77.92,overcast clouds,7.9803,49.8164,Amiin Hotel
322,Jalu,LY,85.6,clear sky,29.0331,21.5482,صاحبة الفخامة
323,Vestmannaeyjar,IS,51.49,overcast clouds,63.4427,-20.2734,Glamping & Camping
324,Hof,DE,76.23,overcast clouds,50.3167,11.9167,Hotel Burghof
325,Timra,SE,62.67,overcast clouds,62.487,17.3257,Bergefors park
326,Avera,US,87.39,overcast clouds,33.194,-82.5271,
327,Batagay,RU,63.82,light rain,67.6333,134.6333,Gostinitsa Ki'ileekh
328,Meulaboh,ID,76.44,overcast clouds,4.1363,96.1285,Kost Pria
330,Gasa,PS,78.87,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
331,Honningsvag,NO,53.35,light intensity drizzle,70.9821,25.9704,Nordkapp Vandrerhjem
332,Lianran,CN,61.81,overcast clouds,24.9227,102.485,半岛酒店
333,Matagami,CA,77.11,scattered clouds,49.7502,-77.6328,Motel Le Caribou
334,Youhao,CN,60.94,broken clouds,47.8667,128.8333,Changcheng Hotel
335,Pombas,CV,73.81,few clouds,17.1503,-25.0201,Paul Paradis
336,Clyde,US,85.17,broken clouds,41.3042,-82.9752,Red Roof Inn Clyde
337,Mayumba,GA,69.1,broken clouds,-3.432,10.6554,LIKWALE LODGE
338,Carauari,BR,88.12,broken clouds,-4.8828,-66.8958,Hotel Fellip
339,Magdagachi,RU,58.53,clear sky,53.45,125.8,Motopolyana Magdagachi
340,Prince Rupert,CA,58.69,overcast clouds,54.3161,-130.3201,Crest Hotel
341,Caxito,AO,67.46,overcast clouds,-8.5785,13.6643,
342,Tougue,GN,71.56,light rain,11.4667,-11.6,
343,Skaerbaek,DK,59.27,overcast clouds,55.1573,8.769,Skærbækcentret
344,Vaitape,PF,77.9,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
345,Clyde River,CA,55.63,broken clouds,70.4692,-68.5914,Qamaq Hotel
346,Sorland,NO,51.66,light rain,67.667,12.6934,Sjybrygga fiskecamp
