City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Hinatuan,PH,8.3722,126.3342,76.14,92,100,3.09,overcast clouds
143,Sistranda,NO,63.7256,8.834,55.36,84,20,12.21,few clouds
144,Ust-Ishim,RU,57.6935,71.1665,53.96,87,95,3.85,overcast clouds
145,Oksfjord,NO,70.2396,22.3479,55.47,85,99,7.87,light rain
146,Xining,CN,36.6167,101.7667,52.07,67,0,1.95,clear sky
147,Samarai,PG,-10.6167,150.6667,79.92,80,31,5.97,scattered clouds
148,Kabelvag,NO,68.2114,14.4817,53.53,87,75,25.32,broken clouds
149,Marsh Harbour,BS,26.5412,-77.0636,84.15,71,0,15.73,clear sky
150,Faanui,PF,-16.4833,-151.75,77.9,74,16,10.0,light rain
151,Kenai,US,60.5544,-151.2583,55.15,77,100,12.66,overcast clouds
152,Ribeira Grande,PT,38.5167,-28.7,77.4,83,40,10.36,scattered clouds
153,Gustrow,DE,53.7972,12.1734,66.52,59,75,10.36,broken clouds
154,Port Hedland,AU,-20.3167,118.5667,66.25,100,0,4.61,clear sky
155,Norman Wells,CA,65.282,-126.8329,68.04,68,75,6.91,broken clouds
156,Boa Vista,BR,2.8197,-60.6733,84.18,65,40,5.75,scattered clouds
157,Khandyga,RU,62.6667,135.6,63.86,95,100,0.34,overcast clouds
158,Cam Ranh,VN,11.9214,109.1591,78.76,78,20,4.61,few clouds
159,Nanortalik,GL,60.1432,-45.2371,49.01,79,17,4.05,few clouds
160,Ayan,RU,56.45,138.1667,57.72,91,63,6.46,broken clouds
161,Geraldton,AU,-28.7667,114.6,52.21,82,75,13.8,broken clouds
162,Manado,ID,1.487,124.8455,77.77,88,40,2.3,scattered clouds
163,Verkhoyansk,RU,67.5447,133.385,62.94,88,100,1.34,light rain
164,Karratha,AU,-20.7377,116.8463,69.6,66,0,10.38,clear sky
165,Beira,MZ,-19.8436,34.8389,71.69,88,40,5.99,scattered clouds
166,Hobyo,SO,5.3505,48.5268,76.3,81,11,22.95,few clouds
167,Yumen,CN,40.2833,97.2,76.39,15,0,11.07,clear sky
168,Mastic Beach,US,40.7668,-72.8521,95.16,56,2,1.01,clear sky
169,Namatanai,PG,-3.6667,152.4333,78.12,80,8,6.78,clear sky
170,Panzhihua,CN,26.5851,101.7128,71.01,96,100,2.37,overcast clouds
171,Hobart,AU,-42.8794,147.3294,50.25,83,100,8.05,overcast clouds
172,Shingu,JP,33.7333,135.9833,72.91,85,0,4.94,clear sky
173,Kigoma,TZ,-4.8769,29.6267,74.59,63,3,5.3,clear sky
174,Flinders,AU,-34.5833,150.8552,51.19,92,83,5.99,broken clouds
175,Port-Gentil,GA,-0.7193,8.7815,75.16,83,20,10.36,few clouds
176,Lompoc,US,34.6391,-120.4579,78.94,87,40,9.22,scattered clouds
177,Esperance,AU,-33.8667,121.9,54.28,73,100,16.17,overcast clouds
178,Alofi,NU,-19.0595,-169.9187,64.29,100,100,1.14,overcast clouds
179,Lima,PE,-12.0432,-77.0282,70.9,64,100,4.61,overcast clouds
180,Kamenka,RU,51.3223,42.7678,58.87,86,96,4.92,overcast clouds
181,Klaksvik,FO,62.2266,-6.589,52.72,82,100,7.05,overcast clouds
182,Madarounfa,NE,13.3087,7.156,89.58,47,100,7.16,overcast clouds
183,Ulladulla,AU,-35.35,150.4667,51.12,90,84,5.91,broken clouds
184,Richards Bay,ZA,-28.783,32.0377,67.44,81,0,11.23,clear sky
185,Mabaruma,GY,8.2,-59.7833,87.8,70,75,11.5,broken clouds
186,Havelock,US,34.8791,-76.9013,91.35,83,100,7.0,overcast clouds
187,Seoul,KR,37.5683,126.9778,74.64,97,20,2.3,mist
188,Kenora,CA,49.8167,-94.4337,76.17,41,75,15.01,broken clouds
189,Acajutla,SV,13.5928,-89.8275,83.95,75,100,5.19,overcast clouds
190,Mae Sai,TH,20.4335,99.8762,72.23,99,100,0.69,light rain
191,Yangzhou,CN,32.3972,119.4358,78.37,93,100,6.42,overcast clouds
192,Guerrero Negro,MX,27.9769,-114.0611,75.78,59,40,19.55,scattered clouds
193,Goderich,CA,43.7501,-81.7165,77.32,65,0,10.36,clear sky
194,Tianpeng,CN,30.9866,103.9393,68.47,94,0,3.85,clear sky
195,Kazerun,IR,29.6195,51.6541,88.23,43,4,1.88,clear sky
196,Narsaq,GL,60.9167,-46.05,55.45,60,32,4.65,scattered clouds
197,Nara,JP,34.6851,135.8049,76.5,65,89,2.55,overcast clouds
198,Gambela,ET,8.25,34.5833,71.53,93,97,4.81,moderate rain
199,Santiago De Cao,PE,-7.9589,-79.2392,64.53,72,100,13.8,fog
200,Calamar,CO,10.2511,-74.9146,87.78,64,100,7.43,overcast clouds
201,Kloulklubed,PW,7.0419,134.2556,82.15,77,59,7.81,broken clouds
202,Kilindoni,TZ,-7.9139,39.6668,75.45,76,0,14.97,clear sky
203,Dondo,MZ,-19.6094,34.7431,71.11,85,0,6.67,clear sky
204,Emerald,AU,-23.5333,148.1667,52.34,88,0,10.63,clear sky
205,Westerland,DE,54.9079,8.3033,59.02,72,75,14.97,broken clouds
206,Dalvik,IS,65.9702,-18.5286,51.73,79,59,3.85,broken clouds
207,Swan Hill,AU,-35.3378,143.5544,52.03,77,100,8.46,moderate rain
208,Noumea,NC,-22.2763,166.4572,80.58,99,77,7.4,broken clouds
209,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,79.93,37,42,11.01,scattered clouds
210,Bathsheba,BB,13.2167,-59.5167,86.61,76,40,19.57,scattered clouds
211,Pacific Grove,US,36.6177,-121.9166,77.38,89,28,13.0,scattered clouds
212,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,70,98,1.61,overcast clouds
213,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,75,0,13.91,clear sky
214,Bemidji,US,47.4736,-94.8803,85.05,43,40,20.71,scattered clouds
215,Bafq,IR,31.6128,55.4107,93.92,10,0,3.71,clear sky
216,Qadirpur Ran,PK,30.2924,71.6712,80.49,76,100,5.91,overcast clouds
217,Meadow Lake,US,34.8014,-106.5436,96.84,23,18,9.44,few clouds
218,Tezpur,IN,26.6333,92.8,79.75,85,100,3.47,overcast clouds
219,Kidderminster,GB,52.3882,-2.25,67.23,91,62,5.99,broken clouds
220,Chuy,UY,-33.6971,-53.4616,58.42,89,100,4.79,overcast clouds
221,Provideniya,RU,64.3833,-173.3,46.06,68,26,9.6,scattered clouds
222,Pozo Colorado,PY,-23.4923,-58.7972,93.78,21,100,11.7,overcast clouds
223,Mwanza,TZ,-2.5167,32.9,69.85,60,0,0.0,clear sky
224,Pamyat Parizhskoy Kommuny,RU,56.1048,44.4952,64.35,79,0,3.0,clear sky
225,Xingyi,CN,24.1877,102.817,59.85,97,75,2.64,broken clouds
226,Korla,CN,41.7597,86.1469,82.76,22,0,0.63,clear sky
227,Kahului,US,20.8947,-156.47,80.96,78,6,10.0,clear sky
228,Mehamn,NO,71.0357,27.8492,53.51,92,29,19.84,scattered clouds
229,Pokrovsk,UA,48.282,37.1758,58.05,91,22,8.03,few clouds
230,Safaga,EG,26.7292,33.9365,88.83,41,4,8.05,clear sky
231,Ranong,TH,9.9658,98.6348,77.7,87,100,4.09,moderate rain
232,Latung,PH,5.5,120.8833,82.8,76,58,6.53,broken clouds
233,Ilulissat,GL,69.2167,-51.1,42.78,96,100,4.94,moderate rain
234,Merauke,ID,-8.4667,140.3333,76.24,88,100,11.48,overcast clouds
235,Darlowo,PL,54.421,16.4107,63.66,81,24,6.51,few clouds
236,Umm Kaddadah,SD,13.6017,26.6876,91.53,31,0,5.5,clear sky
237,Longyearbyen,SJ,78.2186,15.6401,49.84,87,75,5.75,broken clouds
238,Necochea,AR,-38.5473,-58.7368,49.59,70,98,5.57,overcast clouds
239,Mayo,US,38.8876,-76.5119,97.21,49,0,4.61,clear sky
240,Cayenne,GF,4.9333,-52.3333,86.09,15,45,8.05,scattered clouds
241,Broome,US,42.2506,-75.833,88.56,49,20,10.36,few clouds
242,Sarangani,PH,5.4033,125.4636,82.4,75,21,7.38,few clouds
243,Svetlogorsk,BY,52.6333,29.7333,63.07,79,3,5.01,clear sky
244,Lagoa,PT,39.05,-27.9833,72.81,88,100,9.46,overcast clouds
245,La Ronge,CA,55.1001,-105.2842,57.45,67,100,5.75,overcast clouds
246,Vrede,ZA,-27.4257,29.1659,56.37,39,100,4.56,overcast clouds
247,Dwarka,IN,22.2394,68.9678,82.17,82,27,18.88,scattered clouds
248,Ponta Do Sol,PT,32.6667,-17.1,75.7,73,3,6.53,clear sky
249,Safonovo,RU,55.15,33.2167,62.71,73,26,3.15,scattered clouds
250,Norilsk,RU,69.3535,88.2027,67.42,66,79,5.28,broken clouds
251,Guilin,CN,25.2819,110.2864,77.11,88,1,0.83,clear sky
252,Jibuti,DJ,11.5,42.5,90.54,37,39,8.46,scattered clouds
253,Broken Hill,AU,-31.95,141.4333,55.06,67,100,8.19,overcast clouds
254,Pelotas,BR,-31.7719,-52.3425,71.62,88,75,6.91,broken clouds
255,Yuancheng,CN,36.652,107.7896,63.84,57,0,3.49,clear sky
256,Vanavara,RU,60.34,102.2797,59.38,74,98,6.73,overcast clouds
257,Lake Jackson,US,29.0339,-95.4344,96.04,55,6,3.0,clear sky
258,Sibolga,ID,1.7427,98.7792,75.56,90,100,4.29,overcast clouds
259,Berdigestyakh,RU,62.0989,126.6992,59.88,98,99,1.1,overcast clouds
260,Ballina,AU,-28.8667,153.5667,60.01,98,100,22.64,overcast clouds
261,Prieska,ZA,-29.6641,22.7474,62.4,36,75,6.35,broken clouds
262,Manjacaze,MZ,-24.7117,33.8828,62.82,91,0,4.7,clear sky
263,Rossland,CA,49.0831,-117.8022,81.91,37,95,11.01,overcast clouds
264,Uarini,BR,-2.99,-65.1083,84.78,68,100,1.72,overcast clouds
265,Macklin,CA,52.3334,-109.9348,64.74,50,81,11.79,broken clouds
266,Slave Lake,CA,55.2834,-114.769,60.78,72,40,8.05,scattered clouds
267,Waitara,NZ,-38.925,174.25,41.49,78,100,10.38,overcast clouds
268,Te Anau,NZ,-45.4167,167.7167,31.5,95,68,2.46,broken clouds
269,Vila Velha,BR,-20.3297,-40.2925,80.55,76,20,12.66,few clouds
270,Dubbo,AU,-32.25,148.6167,44.73,87,66,11.5,broken clouds
271,Kungurtug,RU,50.5994,97.5228,52.03,91,100,1.59,overcast clouds
272,Kawambwa,ZM,-9.7915,29.0791,64.11,41,10,5.79,clear sky
273,Camabatela,AO,-8.1881,15.375,72.45,42,100,2.71,overcast clouds
274,Fairbanks,US,64.8378,-147.7164,55.09,82,100,1.01,overcast clouds
275,Walvis Bay,NA,-22.9575,14.5053,65.35,59,0,5.75,clear sky
276,Padang,ID,-0.9492,100.3543,78.04,86,96,3.67,overcast clouds
277,Turukhansk,RU,65.8167,87.9833,59.95,77,11,12.46,few clouds
278,Cabo San Lucas,MX,22.8909,-109.9124,97.9,58,90,7.29,overcast clouds
279,Skelleftea,SE,64.7507,20.9528,66.56,71,100,5.75,overcast clouds
280,Hasaki,JP,35.7333,140.8333,75.6,88,0,18.43,clear sky
281,Dunedin,NZ,-45.8742,170.5036,43.81,80,16,8.01,few clouds
282,Kudahuvadhoo,MV,2.6708,72.8944,82.92,73,98,16.13,overcast clouds
283,Henties Bay,NA,-22.116,14.2845,61.11,66,0,6.49,clear sky
284,Birao,CF,10.2849,22.7882,74.17,89,12,6.91,light rain
285,Iqaluit,CA,63.7506,-68.5145,49.73,81,75,4.61,broken clouds
286,Balkanabat,TM,39.5108,54.3671,81.23,58,0,8.32,clear sky
